epoch,loss
1,0.8599
2,0.7852
3,0.7436
4,0.6672
5,0.6461
6,0.6310
7,0.6188
8,0.6094
9,0.6041
10,0.5993
11,0.5960
12,0.5933
13,0.5912
14,0.5887
15,0.5870
16,0.5846
17,0.5833
18,0.5811
19,0.5806
20,0.5791
21,0.5780
22,0.5767
23,0.5755
24,0.5745
25,0.5101
26,0.4627
27,0.4526
28,0.4646
29,0.4606
30,0.4399
31,0.4521
32,0.4503
33,0.4395
34,0.4401
35,0.4273
36,0.4350
37,0.4550
38,0.4346
39,0.4335
40,0.4517
41,0.4300
42,0.4380
43,0.4306
44,0.4316
45,0.4277
46,0.4199
47,0.4301
48,0.4412
49,0.4216
50,0.4705
51,0.4416
52,0.4195
53,0.4255
54,0.4252
55,0.4294
56,0.4151
57,0.4220
58,0.4250
59,0.4160
60,0.4266
61,0.4227
62,0.4260
63,0.4188
64,0.4190
65,0.4217
66,0.4214
67,0.4116
68,0.4136
69,0.4123
70,0.4053
71,0.4105
72,0.4115
73,0.4156
74,0.4301
75,0.4194
76,0.4119
77,0.4137
78,0.4040
79,0.4034
80,0.4039
81,0.4083
82,0.4099
83,0.4147
84,0.4147
85,0.4085
86,0.4114
87,0.4121
88,0.4078
89,0.4073
90,0.4026
91,0.4112
92,0.4048
93,0.3995
94,0.4036
95,0.4082
96,0.4026
97,0.4023
98,0.4016
99,0.4026
100,0.4017
101,0.3984
102,0.4064
103,0.3975
104,0.3991
105,0.4004
106,0.3953
107,0.3976
108,0.3948
109,0.3950
110,0.3985
111,0.3981
112,0.4000
113,0.3976
114,0.3948
115,0.3945
116,0.3943
117,0.3978
118,0.3931
119,0.3934
120,0.3920
121,0.3929
122,0.3943
123,0.3915
124,0.3908
125,0.3814
126,0.3613
127,0.3517
128,0.3492
129,0.3397
130,0.3305
131,0.3260
132,0.3232
133,0.3194
134,0.3184
135,0.3175
136,0.3157
137,0.3148
138,0.3157
139,0.3160
140,0.3136
141,0.3133
142,0.3128
143,0.3117
144,0.3115
145,0.3119
146,0.3121
147,0.3106
148,0.3103
149,0.3120
150,0.3104
151,0.3087
152,0.3094
153,0.3096
154,0.3083
155,0.3090
156,0.3097
157,0.3082
158,0.3080
159,0.3075
160,0.3069
161,0.3082
162,0.3068
163,0.3064
164,0.3066
165,0.3066
166,0.3062
167,0.3062
168,0.3064
169,0.3053
170,0.3056
171,0.3049
172,0.3058
173,0.3053
174,0.3049
175,0.3053
176,0.3048
177,0.3046
178,0.3048
179,0.3044
180,0.3044
181,0.3042
182,0.3043
183,0.3043
184,0.3039
185,0.3039
186,0.3038
187,0.3038
188,0.3042
189,0.3039
190,0.3034
191,0.3034
192,0.3035
193,0.3035
194,0.3039
195,0.3036
196,0.3033
197,0.3030
198,0.3033
199,0.3034
200,0.3037
